HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Created Acceptance CI test environment for 1.0.x Create the infrastructure Mongo, Hadoop, ActiveMQ, Gemfire, Mysql, etc in EC2 for the 1.0.2 acceptance tests Retrofit the 1.0.2 to use the new infrastructure Create a 1.0.2 branch for XD EC2",XD-2362,
Remove usage of location ... in module defitions This doesn t follow the conventions we have with other modules and it also means it isn t easy to override via environment variables etc. This is in HDFS and some others.,XD-2364,
Investigate test failure in CI builds is failing intermittently. Why?,XD-2367,
"Research Spark integration options phase 2 As a continuation, we would like to further investigate Spark, develop POC and identify the best appropriate design and implementation for XD.",XD-2368,
Remove Test Scripts From XD The acceptance tests cover the entire suite of script tests. Thus they are no longer needed. The only test that was remaining was posting 10 messages to a http source and writing to a long and making sure we didn t get an error. This test httpbash was never called from the scripts CI build.,XD-2370,
"Research reactor stream integration options As a user, I'd like to have a reactor stream processor module so that I can ingest data using XD source modules and process them as time window operations. Example 1 http reactor stream timeWindow 10s This would give you 10 second time window of the min and avg values. Example 2 Reactor as a module Example 3 Integration with Spark streaming and reactor",XD-2375,
"Add batching support for Rabbit Message Bus As a user, I'd like to have microbatching capability so that I can ingest based on batch intervals for enhanced performance throughput. ",XD-2376,
Decouple messagebus dependencies Refactoring scope spring xd dirt Message bus dependencies The goal is to decouple them from startup phase to further enhance initialization time. ,XD-2381,
"Re run Kafka baseline tests in new infrastructure As a developer, I'd like to setup a performance testing infrastructure rackspace , so I can start benching Kafka baselines and continue with XD use cases.",XD-2382,
"Document custom module install procedures As a user, I'd like to refer to documentation so that I can build the custom module based on recommended standards and patterns.",XD-2384,
Need TCP Client Source Acceptance test ,XD-2386,
Acceptance test for Kafka source and sink ,XD-2387,
Add hosted in HDFS so that I can deploy the module to newly arriving containers. ,XD-2388,
TCP Client source module throws Version XD 1.1 M1 Problem Trying to use tcp client source module and observing an exception while deploying the stream. Stream Definition curl data data decoder LF port 8080 log data deploy true decoder LF port 8080 The same curl command works fine against XD 1.0.1 release. ,XD-2397,
"Create pipes and filters DSL for ingestion Initial simple handcoded implementation for straight through pipe and filter model, e.g. a b c",XD-24,
"Research options to improve CI reliability As a build master, I'd like to research CI options so that I can improve CI build stability and reliability. Potential Option npm cache Caching previously installed dependencies, npm cache doesn t require downloading the internet each time we build.",XD-2400,
"EC2 CI build improvements As a developer, I'd like to include the following improvements as part of the EC2 CI infrastructure, so that we can reliably run the CI builds and also assert over feature functionalities. Scope Enable distributed jvm test Change from using artifactory gradle task to a command task that calls . gradlew Test w embedded hadoop off Turn on maxParallelForks ",XD-2401,
"Spike Study elastic instances and scheduling in Bamboo to create Windows CI infrastructure As a build manager, I'd like to setup CI infrastructure so that I can run integration tests in Windows OS automatically as we commit trigger new builds. Scope Use the environment where Bamboo is running Gain access to powershell Setup services redis, rabbit, etc. Kick off CI task",XD-2403,
"Provide an XD Starter POM for module projects Provide A maven pom to support module projects that will declare the Spring XD dependencies as provided, configure the boot plugin for MODULE layout and other boilerplate build configuration. This should include a similar feature for gradle.",XD-2404,
"Enhance module upload to support exploded dirs on the shell side Would be nice to have the shell zip the contents of a directory if not already in zipped form. This way, the development cycle if one decided to use upload is quicker and edits can be done in place.",XD-2407,
"Rename metrics repositories setValue x, y, z to something less javabean ",XD-2410,
"Make Redis RichGauge repository cluster safe The current implementation makes individual reads from redis and then writes back the average, so in a cluster environment the reads and writes are not serialized, client reads and writes for specific keys can interfere with each other. Investigate options, such as use of redis transactions or use of lua scripting to solve this problem.",XD-2411,
"Fix Redis FieldValueCounter repo save method That method is actually currently never called, but The case where a mapping already exists is not covered outstanding TODO comment the semantics of the method should just be to save and override ",XD-2412,
Kafka Sink Support async Producer The kafka sink supports properties for an async producer e.g. . Async producers batch messages at the risk of message loss . Add a new property element ,XD-2418,
